A,State,Week,"West Nile virus disease†, Neuroinvasive","West Nile virus disease†, Nonneuroinvasive","Zika virus disease, non-congenital","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable",Tetanus,Varicella morbidity,"Spotted Fever Rickettsiosis, Confirmed","Spotted Fever Rickettsiosis, Probable","Syphilis, primary and secondary",Salmonellosis (excluding Paratyphoid fever andTyphoid fever)†,Shiga toxin-producing Escherichia coli,Shigellosis,"Rabies, animal",Rubella,"Rubella, congenital syndrome","Meningococcal disease, all serogroups",Mumps,Pertussis,Legionellosis,Malaria,"Invasive Pneumococcal Disease, Age LT 5†, Confirmed","Invasive Pneumococcal Disease, Age LT 5†, Probable","Invasive Pneumococcal Disease, all ages†, Confirmed","Invasive Pneumococcal Disease, all ages†, Probable","Hepatitis (viral, acute, by type)†, C, Confirmed","Hepatitis (viral, acute, by type)†, C, Probable","Hepatitis (viral, acute, by type)†, A","Hepatitis (viral, acute, by type)†, B","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis",Giardiasis,Gonorrhea,"Haemophilus influenzae, invasive disease (all ages, all serotypes)","Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection","Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",Cryptosporidiosis,"Dengue Virus Infections, Dengue†","Dengue Virus Infections, Severe Dengue",Chlamydia trachomatis infection,Coccidioidomycosis,"Carbapenemase-producing carbapenem-resistant Enterobacteriaceae †, Klebsiella spp.","Carbapenemase-producing carbapenem-resistant Enterobacteriaceae †, Escherichia coli","Carbapenemase-producing carbapenem-resistant Enterobacteriaceae †, Enterobacter spp.",Babesiosis,Campylobacteriosis,Total,Population_Density(km²),GDP,TAVE,AVE_TMIN,AVE_TMAX,DATE,TAVE_D,AVE_TMIN_D,AVE_TMAX_D,Glaciers,Locales,Beaches,Areas,Lakes,Streams,Swamps,Forests,Plains,Woods,"Agriculture, forestry, fishing, and hunting","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,Finance and insurance,Colors
297,WEST VIRGINIA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28.9135357,,-5.7666,-11.0836,-0.4496,,0.734,-5.9848,7.4527,,,,,,,,,,,,,,,,,,,,,,
298,WISCONSIN,6,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,77,0,0,0,1,0,0,297,0,0,0,0,0,3,388,41.36161606,,-8.3119,-13.6323,-2.9914,,-5.278,-10.9668,0.4109,,,,,,,,,,,,,,,,,,,,,,
299,WYOMING,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43,0,0,0,0,0,0,44,2.281292621,,-1.9495,-7.3414,3.4425,,-3.0835,-7.9341,1.7672,,,,,,,,,,,,,,,,,,,,,,
300,ALABAMA,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,9,37.19925281,,0.7873,-5.8579,7.4325,1/12/2018,8.0367,1.5084,14.5649,,,,,,,,,,,,,,,,,,,,,,
301,ALASKA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.498241128,,-5.4849,-8.9433,-2.0264,1/13/2018,-14.7583,-19.3663,-10.1503,,,,,,,,,,,,,,,,,,,,,,
302,ARIZONA,7,0,0,0,0,0,0,8,0,0,1,12,4,3,0,0,0,0,0,12,1,0,1,0,25,0,0,0,1,0,0,0,1,238,4,0,0,0,0,0,824,157,0,0,0,0,3,1295,24.20525837,,8.4444,0.429,16.4598,1/14/2018,10.8437,1.7474,19.94,,,,,,,,,,,,,,,,,,,,,,
303,ARKANSAS,7,0,0,0,0,0,0,1,0,3,3,0,0,1,0,0,0,0,0,2,0,0,1,0,13,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,4,35,22.39668239,,-3.634,-9.6692,2.4012,1/15/2018,1.8836,-4.0718,7.839,,,,,,,,,,,,,,,,,,,,,,
304,CALIFORNIA,7,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,183,20,0,0,0,0,39,340,98.47383106,,10.9161,5.4913,16.3408,1/16/2018,13.8408,6.027,21.6546,,,,,,,,,,,,,,,,,,,,,,
305,COLORADO,7,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21.16020728,,-1.5962,-8.444,5.2516,1/17/2018,2.7215,-2.8571,8.3,,,,,,,,,,,,,,,,,,,,,,
306,CONNECTICUT,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,285.9964138,,-1.8108,-7.0831,3.4615,1/18/2018,-2.7458,-7.7656,2.274,,,,,,,,,,,,,,,,,,,,,,
307,DELAWARE,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,77,0,0,0,0,0,0,94,161.0580431,,1.25,-4.1429,6.6429,,0.1833,-5.181,5.5476,,,,,,,,,,,,,,,,,,,,,,
308,FLORIDA,7,0,0,0,0,0,0,10,0,0,7,0,0,0,0,0,0,1,1,6,0,0,2,0,24,0,0,0,0,0,0,0,0,347,10,0,0,0,0,0,1227,0,0,0,0,0,0,1635,152.5897544,,13.0247,6.7183,19.331,,18.7791,13.2868,24.2714,,,,,,,,,,,,,,,,,,,,,,
309,GEORGIA,7,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,9,139,6,0,0,6,0,0,470,0,0,0,0,0,12,673,70.31216995,,3.2278,-3.3051,9.7607,,8.7732,2.3021,15.2443,,,,,,,,,,,,,,,,,,,,,,
310,HAWAII,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,85.74649835,,20.502,15.9717,25.0322,,20.2167,16.1094,24.3239,,,,,,,,,,,,,,,,,,,,,,
311,IDAHO,7,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,15,8.183599765,,0.4415,-3.9445,4.8275,,3.2806,-0.493,7.0542,,,,,,,,,,,,,,,,,,,,,,
312,ILLINOIS,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,64,0,0,0,0,0,0,95,88.69290989,,-9.7229,-15.4466,-3.9991,,-8.4844,-14.3569,-2.6119,,,,,,,,,,,,,,,,,,,,,,
313,INDIANA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,302,0,0,0,0,0,0,409,72.12044782,,-9.1127,-14.6409,-3.5844,,-6.69,-12.1604,-1.2195,,,,,,,,,,,,,,,,,,,,,,
314,IOWA,7,0,0,0,0,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,75,0,0,0,0,0,20,154,21.84195686,,-13.969,-19.3232,-8.6147,,-12.4446,-18.1674,-6.7217,,,,,,,,,,,,,,,,,,,,,,
315,KANSAS,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13.77307692,,-8.5215,-14.522,-2.5209,,-4.8845,-11.7488,1.9799,,,,,,,,,,,,,,,,,,,,,,
316,KENTUCKY,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,17,43.46393446,,-6.0476,-12.0145,-0.0806,,-1.7021,-6.791,3.3868,,,,,,,,,,,,,,,,,,,,,,
317,LOUISIANA,7,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,3,0,20,0,0,0,0,0,0,0,0,206,2,0,0,1,0,0,719,0,0,0,0,0,8,964,41.50240638,,2.1383,-4.3128,8.5893,,11.0616,5.5534,16.5698,,,,,,,,,,,,,,,,,,,,,,
318,MAINE,7,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,13,16.78425142,,-6.5333,-11.7621,-1.3044,,-8.5555,-14.9737,-2.1372,,,,,,,,,,,,,,,,,,,,,,
319,MARYLAND,7,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,2,4,1,0,8,0,0,0,0,1,0,0,3,61,2,0,0,1,0,0,367,0,0,0,0,0,14,470,240.1675753,,-0.9354,-6.2366,4.3659,,-1.1847,-5.924,3.5547,,,,,,,,,,,,,,,,,,,,,,
320,MASSACHUSETTS,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,5,0,2,0,0,5,0,0,0,0,0,0,0,0,6,27,339.5999705,,-1.1813,-5.9328,3.5702,,-2.9518,-8.4465,2.5429,,,,,,,,,,,,,,,,,,,,,,
321,MICHIGAN,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,169,0,0,0,0,0,0,210,66.38479376,,-9.4346,-14.4353,-4.4339,,-11.3194,-15.9484,-6.6903,,,,,,,,,,,,,,,,,,,,,,
322,MINNESOTA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.29613122,,-17.39,-23.2657,-11.5142,,-18.9547,-25.2317,-12.6776,,,,,,,,,,,,,,,,,,,,,,
323,MISSISSIPPI,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,198,0,0,0,1,0,0,485,0,0,0,0,0,2,687,24.55209568,,-0.5313,-6.9206,5.858,,7.4198,1.0392,13.8003,,,,,,,,,,,,,,,,,,,,,,
324,MISSOURI,7,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,169,0,0,0,5,0,0,139,0,0,0,0,0,3,333,34.39129216,,-9.2367,-15.0282,-3.4452,,-5.1246,-11.3722,1.123,,,,,,,,,,,,,,,,,,,,,,
325,MONTANA,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.81800843,,-5.3052,-10.6933,0.0829,,-5.9472,-11.1573,-0.737,,,,,,,,,,,,,,,,,,,,,,
326,NEBRASKA,7,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,25,1,0,0,1,0,0,65,0,0,0,0,0,5,108,9.706472659,,-11.0241,-16.7904,-5.2577,,-8.1283,-14.5122,-1.7444,,,,,,,,,,,,,,,,,,,,,,
327,NEVADA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74651254,,4.6065,-1.423,10.6359,,5.722,-1.2856,12.7296,,,,,,,,,,,,,,,,,,,,,,
328,NEW HAMPSHIRE,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56.37731675,,-5.0645,-10.8085,0.6796,,-7.3085,-13.2502,-1.3668,,,,,,,,,,,,,,,,,,,,,,
329,NEW JERSEY,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,295,0,0,0,0,0,0,356,470.1927021,,-0.6102,-6.2906,5.0703,,-1.5016,-6.3904,3.3872,,,,,,,,,,,,,,,,,,,,,,
330,NEW MEXICO,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,64,0,0,0,0,0,1,95,6.651759892,,1.1201,-7.3679,9.608,,5.5771,-4.051,15.2051,,,,,,,,,,,,,,,,,,,,,,
331,NEW YORK,7,0,0,0,1,0,0,0,0,0,12,0,3,2,8,0,0,0,0,3,4,0,0,0,31,0,0,2,4,2,0,0,17,210,3,1,0,2,0,0,865,0,0,0,0,0,18,1188,162.4306895,,-6.5841,-12.6124,-0.5558,,-6.2909,-11.3252,-1.2566,,,,,,,,,,,,,,,,,,,,,,
332,NORTH CAROLINA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,82.35626699,,1.9943,-3.8371,7.8257,,5.2377,-1.3752,11.8505,,,,,,,,,,,,,,,,,,,,,,
333,NORTH DAKOTA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,8,4.227543704,,-17.8339,-24.8907,-10.777,,-18.9997,-24.9172,-13.0822,,,,,,,,,,,,,,,,,,,,,,
334,OHIO,7,0,0,0,0,0,0,4,0,0,0,0,10,4,0,0,0,1,1,9,5,1,3,0,31,3,2,0,1,6,0,0,6,244,5,0,0,13,0,0,637,1,0,0,0,0,21,1008,110.2687637,,-7.2642,-12.7051,-1.8233,,-5.7692,-10.2997,-1.2386,,,,,,,,,,,,,,,,,,,,,,
335,OKLAHOMA,7,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,35,0,0,0,0,0,0,59,22.15680332,,-3.3506,-10.708,4.0068,,0.6794,-6.934,8.2928,,,,,,,,,,,,,,,,,,,,,,
336,OREGON,7,0,0,0,0,0,0,0,0,0,6,0,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,127,1,0,0,1,0,0,439,0,0,0,0,0,12,595,16.48063716,,5.7332,1.7329,9.7335,,7.6753,2.8872,12.4634,,,,,,,,,,,,,,,,,,,,,,
337,PENNSYLVANIA,7,0,0,0,0,0,0,5,0,0,4,0,1,0,0,0,0,0,2,9,1,0,0,0,4,1,0,0,1,2,0,0,5,183,3,0,0,3,0,0,905,0,0,0,0,0,15,1144,110.48115,,-5.2356,-11.3038,0.8327,,-4.805,-9.2816,-0.3283,,,,,,,,,,,,,,,,,,,,,,
338,RHODE ISLAND,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,0,0,0,27,0,0,0,0,0,0,55,392.3547672,,-0.2044,-4.68,4.2713,,-1.3664,-7.0014,4.2686,,,,,,,,,,,,,,,,,,,,,,
339,SOUTH CAROLINA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,519,0,0,0,0,0,0,696,65.25673544,,4.0179,-2.489,10.5247,,7.7186,1.1376,14.2996,,,,,,,,,,,,,,,,,,,,,,
340,SOUTH DAKOTA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4.466215529,,-12.8723,-19.5889,-6.1556,,-12.3819,-19.0522,-5.7115,,,,,,,,,,,,,,,,,,,,,,
341,TENNESSEE,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,0,63,0,0,0,0,0,0,206,0,0,0,0,0,0,289,63.53570893,,-3.9054,-9.8599,2.0492,,1.1211,-4.545,6.7872,,,,,,,,,,,,,,,,,,,,,,
342,TEXAS,7,0,0,0,1,0,0,7,0,0,42,0,2,2,3,0,0,0,0,8,6,0,3,0,53,0,0,0,0,0,0,0,0,767,4,0,0,2,0,0,2580,0,0,0,0,0,13,3493,42.33358553,,2.8421,-3.9098,9.5939,,9.7311,3.86,15.6022,,,,,,,,,,,,,,,,,,,,,,
343,UTAH,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,42,0,0,0,0,0,0,143,0,0,0,0,0,1,198,14.84996545,,1.0912,-5.3349,7.5172,,3.9281,-2.0798,9.9359,,,,,,,,,,,,,,,,,,,,,,
344,VERMONT,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26.86356396,,-8.0323,-13.8344,-2.2302,,-9.171,-15.3087,-3.0332,,,,,,,,,,,,,,,,,,,,,,
345,VIRGINIA,7,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,4,208,0,0,0,4,0,0,947,0,0,0,0,0,9,1189,83.1382377,,-0.2865,-6.4171,5.8442,,0.6358,-5.0603,6.3318,,,,,,,,,,,,,,,,,,,,,,
346,WASHINGTON,7,0,0,0,0,2,0,0,0,0,3,0,0,18,0,0,0,0,5,8,1,0,0,0,0,0,1,0,0,0,0,0,1,116,0,0,0,8,0,0,423,0,0,0,0,0,8,594,43.69387518,,4.1847,1.4169,6.9525,,5.5414,2.616,8.4667,,,,,,,,,,,,,,,,,,,,,,
347,WEST VIRGINIA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28.9135357,,-4.4721,-10.7812,1.8371,,-3.1305,-8.3668,2.1058,,,,,,,,,,,,,,,,,,,,,,
348,WISCONSIN,7,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,6,18,41.36161606,,-12.467,-18.3988,-6.5351,,-15.3169,-20.931,-9.7027,,,,,,,,,,,,,,,,,,,,,,
349,WYOMING,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,0,0,0,0,0,0,35,2.281292621,,-4.8302,-11.0378,1.3775,,-2.4769,-7.7346,2.7808,,,,,,,,,,,,,,,,,,,,,,
350,ALABAMA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.19925281,,7.3544,-0.6859,15.3947,1/19/2018,13.1523,8.3728,17.9317,,,,,,,,,,,,,,,,,,,,,,
351,ALASKA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498241128,,-17.8583,-20.7813,-14.9352,1/20/2018,-7.0282,-10.736,-3.3204,,,,,,,,,,,,,,,,,,,,,,
352,ARIZONA,8,0,0,0,0,0,0,7,0,0,1,4,1,2,0,0,0,0,0,4,0,0,2,0,31,0,0,0,0,0,0,0,1,162,5,0,0,1,0,0,289,175,0,0,0,0,7,692,24.20525837,,4.7322,-3.243,12.7074,1/21/2018,9.0552,2.6005,15.5098,,,,,,,,,,,,,,,,,,,,,,
353,ARKANSAS,8,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,22.39668239,,6.308,-0.2576,12.8735,1/22/2018,5.526,0.0812,10.9708,,,,,,,,,,,,,,,,,,,,,,
354,CALIFORNIA,8,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,300,9,0,0,0,0,37,468,98.47383106,,5.5731,0.5294,10.6167,1/23/2018,7.8501,1.2499,14.4502,,,,,,,,,,,,,,,,,,,,,,
355,COLORADO,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21.16020728,,-1.7214,-8.0593,4.6165,1/24/2018,-0.722,-6.433,4.989,,,,,,,,,,,,,,,,,,,,,,
356,CONNECTICUT,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,285.9964138,,0.8349,-3.8016,5.4714,1/25/2018,1.4874,-3.3571,6.3318,,,,,,,,,,,,,,,,,,,,,,
357,DELAWARE,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,161.0580431,,6.0798,0.0988,12.0607,,7.4762,2.019,12.9333,,,,,,,,,,,,,,,,,,,,,,
358,FLORIDA,8,0,0,0,1,0,0,5,0,0,8,0,15,15,0,0,0,1,2,7,4,1,3,0,15,0,0,0,0,0,0,0,11,364,7,0,0,12,0,0,1235,0,0,0,0,0,58,1764,152.5897544,,15.6067,9.3733,21.84,,22.2291,17.7996,26.6586,,,,,,,,,,,,,,,,,,,,,,
359,GEORGIA,8,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,167,4,0,0,1,0,0,384,0,0,0,0,0,8,589,70.31216995,,8.0822,-0.1018,16.2661,,13.7768,9.3292,18.2244,,,,,,,,,,,,,,,,,,,,,,
360,HAWAII,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.74649835,,20.6834,17.279,24.0877,,19.1071,14.847,23.3671,,,,,,,,,,,,,,,,,,,,,,
361,IDAHO,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.183599765,,-2.4184,-6.5514,1.7146,,-2.9985,-8.2367,2.2397,,,,,,,,,,,,,,,,,,,,,,
362,ILLINOIS,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,62,0,0,0,0,0,0,79,88.69290989,,2.2644,-2.1383,6.667,,-3.4121,-8.4834,1.6592,,,,,,,,,,,,,,,,,,,,,,
363,INDIANA,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,106,0,0,0,1,0,0,331,0,0,0,0,0,0,441,72.12044782,,1.8516,-2.1009,5.804,,-0.5086,-5.6257,4.6085,,,,,,,,,,,,,,,,,,,,,,
364,IOWA,8,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,67,0,0,0,0,0,9,110,21.84195686,,-0.2603,-4.494,3.9735,,-9.3357,-14.1199,-4.5515,,,,,,,,,,,,,,,,,,,,,,
365,KANSAS,8,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,139,0,0,0,0,0,2,205,13.77307692,,3.037,-4.2727,10.3466,,-1.1725,-8.0846,5.7396,,,,,,,,,,,,,,,,,,,,,,
366,KENTUCKY,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.46393446,,4.2104,-1.1815,9.6022,,6.3388,0.9549,11.7226,,,,,,,,,,,,,,,,,,,,,,
367,LOUISIANA,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,4,0,0,763,0,0,0,0,0,3,997,41.50240638,,10.1775,3.533,16.8219,,13.5741,8.7628,18.3853,,,,,,,,,,,,,,,,,,,,,,
368,MAINE,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,16.78425142,,-4.3642,-9.1009,0.3726,,-5.8721,-11.6277,-0.1164,,,,,,,,,,,,,,,,,,,,,,
369,MARYLAND,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,369,0,0,0,0,0,0,451,240.1675753,,5.3102,-0.3807,11.0011,,4.8059,-0.2781,9.8898,,,,,,,,,,,,,,,,,,,,,,
370,MASSACHUSETTS,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,339.5999705,,0.3777,-4.1042,4.8596,,0.8934,-3.8345,5.6212,,,,,,,,,,,,,,,,,,,,,,
371,MICHIGAN,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,26,0,0,0,1,0,0,174,0,0,0,0,0,1,206,66.38479376,,-1.4185,-4.9731,2.1361,,-8.1103,-13.627,-2.5935,,,,,,,,,,,,,,,,,,,,,,
