"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-20","6.8",",,U","16.1","H,,U","0.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-21","7.2",",,U","12.2","H,,U","0.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-22","8.4",",,U","10.6","H,,U","5.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-23","7.7",",,U","14.4","H,,U","3.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-24","7.4",",,U","12.8","H,,U","2.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-25","7.3",",,U","12.8","H,,U","2.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-26","6.1",",,U","11.1","H,,U","0.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-27","9.9",",,U","17.2","H,,U","4.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-28","11.8",",,U","22.2","H,,U","5.0","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-29","9.6",",,U","17.2","H,,U","5.0","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-30","10.3",",,U","20.6","H,,U","2.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-01-31","11.8",",,U","21.7","H,,U","4.4","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-01","14.9",",,U","25.0","H,,U","7.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-02","17.9",",,U","26.1","H,,U","8.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-03","22.7",",,U","27.8","H,,U","19.4","H,S,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-04","19.1",",,U","26.7","H,,U","10.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-05","16.3",",,U","26.7","H,,U","7.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-06","18.5",",,U","24.4","H,,U","12.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-07","16.6",",,U","25.0","H,,U","10.0","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-08","14.6",",,U","25.0","H,,U","6.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-09","15.7",",,U","27.2","H,,U","7.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-10","14.3",",,U","20.6","H,,U","8.3","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-11","10.1",",,U","17.2","H,,U","3.9","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-12","9.0",",,U","16.1","H,,U","1.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-13","10.8",",,U","19.4","H,,U","3.9","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-14","9.1",",,U","17.8","H,,U","0.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-15","11.6",",,U","18.3","H,,U","7.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-16","10.3",",,U","21.1","H,,U","1.1","H,,U"
