DATE,TMIN,TMAX
2017-12-01,0.030769230769230865,11.600000000000001
2017-12-02,-0.1307692307692308,12.684615384615388
2017-12-03,-0.2461538461538461,11.784615384615385
2017-12-04,-9.238461538461538,1.484615384615385
2017-12-05,-11.623076923076924,2.7
2017-12-06,-11.323076923076924,-0.5230769230769231
2017-12-07,-13.215384615384615,-2.8153846153846156
2017-12-08,-7.215384615384616,6.192307692307692
2017-12-09,-6.676923076923078,7.784615384615384
2017-12-10,-6.761538461538462,8.284615384615384
2017-12-11,-5.946153846153846,9.615384615384615
2017-12-12,-4.43076923076923,11.453846153846152
2017-12-13,-4.3076923076923075,7.215384615384616
2017-12-14,-8.038461538461538,2.0923076923076924
2017-12-15,-9.323076923076922,7.392307692307692
2017-12-16,-6.161538461538462,5.500000000000001
2017-12-17,-7.784615384615384,4.538461538461539
2017-12-18,-7.561538461538462,6.146153846153846
2017-12-19,-6.415384615384616,6.9615384615384635
2017-12-20,-3.7846153846153854,9.22307692307692
2017-12-21,-10.923076923076922,2.0538461538461537
2017-12-22,-13.153846153846157,0.9384615384615385
2017-12-23,-8.815384615384616,2.684615384615385
2017-12-24,-10.03846153846154,1.1153846153846154
2017-12-25,-4.361538461538462,4.923076923076923
2017-12-26,-4.915384615384616,5.138461538461538
2017-12-27,-6.076923076923078,8.36923076923077
2017-12-28,-2.3076923076923075,9.484615384615386
2017-12-29,-0.7307692307692307,11.653846153846152
2017-12-30,-2.8230769230769233,12.338461538461539
2017-12-31,-6.8769230769230765,4.276923076923076
2018-01-01,-8.646153846153844,5.376923076923077
2018-01-02,-9.153846153846153,4.484615384615385
2018-01-03,-8.715384615384615,6.138461538461538
2018-01-04,-7.015384615384614,7.315384615384615
2018-01-05,-5.046153846153847,7.576923076923077
2018-01-06,-2.607692307692308,6.953846153846154
2018-01-07,-4.053846153846154,5.423076923076923
2018-01-08,-5.046153846153846,8.761538461538462
2018-01-09,0.8538461538461539,10.930769230769233
2018-01-10,-4.184615384615385,5.907692307692307
2018-01-11,-8.06923076923077,1.0692307692307692
2018-01-12,-5.815384615384615,4.26923076923077
2018-01-13,-7.084615384615385,4.730769230769231
2018-01-14,-5.86153846153846,8.200000000000001
2018-01-15,-10.653846153846152,2.9461538461538463
2018-01-16,-13.507692307692308,1.5692307692307694
2018-01-17,-9.515384615384615,6.153846153846154
2018-01-18,-6.669230769230769,8.892307692307693
2018-01-19,-1.830769230769231,12.438461538461537
2018-01-20,-3.2769230769230764,8.161538461538461
2018-01-21,-10.976923076923075,-3.1153846153846154
2018-01-22,-13.846153846153843,-0.22307692307692306
2018-01-23,-10.899999999999999,1.1615384615384614
2018-01-24,-10.407692307692308,6.492307692307692
2018-01-25,-5.176923076923078,7.3999999999999995
2018-01-26,-9.661538461538461,0.6923076923076922
2018-01-27,-11.653846153846157,3.123076923076923
2018-01-28,-6.446153846153847,5.953846153846153
2018-01-29,-5.3076923076923075,9.107692307692307
2018-01-30,-1.3615384615384618,11.723076923076926
2018-01-31,-1.4153846153846152,9.830769230769231
2018-02-01,-2.1230769230769235,6.615384615384617
2018-02-02,-0.8692307692307693,10.86153846153846
2018-02-03,-0.20000000000000004,9.476923076923075
2018-02-04,-0.8923076923076925,9.307692307692307
2018-02-05,-1.8384615384615384,8.453846153846154
2018-02-06,-5.63846153846154,3.2384615384615385
2018-02-07,-7.369230769230769,7.307692307692308
2018-02-08,-3.1923076923076925,9.453846153846154
2018-02-09,-2.9000000000000004,10.653846153846153
2018-02-10,-10.584615384615386,1.9538461538461538
2018-02-11,-13.776923076923076,2.0
2018-02-12,-6.876923076923077,1.8384615384615384
2018-02-13,-2.976923076923077,7.223076923076923
2018-02-14,-0.9923076923076922,7.161538461538462
2018-02-15,-6.923076923076924,4.092307692307693
2018-02-16,-11.069230769230769,3.2846153846153845
2018-02-17,-5.46923076923077,7.515384615384615
2018-02-18,-1.5846153846153848,10.092307692307692
2018-02-19,-11.130769230769232,3.4153846153846152
2018-02-20,-16.03076923076923,-4.576923076923077
2018-02-21,-15.907692307692312,-0.8384615384615384
2018-02-22,-9.992307692307692,-0.4230769230769231
2018-02-23,-10.515384615384615,0.43076923076923074
2018-02-24,-12.569230769230767,-2.907692307692308
2018-02-25,-11.5,-0.7999999999999999
2018-02-26,-8.930769230769231,6.753846153846154
2018-02-27,-4.615384615384616,8.246153846153847
2018-02-28,-5.884615384615386,5.115384615384615
2018-03-01,-7.153846153846155,7.8538461538461535
2018-03-02,-1.7692307692307692,11.846153846153847
2018-03-03,1.7692307692307692,13.469230769230766
2018-03-04,-7.976923076923076,7.999999999999999
2018-03-05,-10.584615384615386,0.05384615384615376
2018-03-06,-10.430769230769231,4.684615384615385
2018-03-07,-8.515384615384615,8.53076923076923
2018-03-08,-3.330769230769231,11.792307692307693
2018-03-09,-0.2538461538461538,11.89230769230769
2018-03-10,-3.5076923076923077,8.900000000000002
2018-03-11,-5.515384615384614,8.561538461538461
2018-03-12,-3.4615384615384617,10.553846153846155
2018-03-13,-3.2461538461538457,11.784615384615385
2018-03-14,-0.2923076923076925,15.207692307692309
2018-03-15,-1.0692307692307692,10.22307692307692
2018-03-16,-3.8538461538461535,6.661538461538462
2018-03-17,-3.6846153846153844,10.976923076923079
2018-03-18,-5.038461538461538,5.676923076923078
2018-03-19,-8.030769230769232,3.130769230769231
2018-03-20,-7.1,6.492307692307692
2018-03-21,-2.8615384615384616,10.899999999999999
2018-03-22,1.2846153846153843,15.084615384615383
2018-03-23,1.2076923076923076,10.86153846153846
