"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-01","0.0",",,W,",,,,,"13.3",",,W","-7.1",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-02","0.0",",,W,",,,,,"17.2",",,W","-6.0",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-03","0.0",",,W,",,,,,"15.6",",,W","-2.1",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-04","0.0",",,W,",,,,,"7.8",",,W","-8.8",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-05","0.0",",,W,",,,,,"8.3",",,W","-11.0",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-06","0.0","T,,W,",,,,,"7.2",",,W","-10.5",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-07","0.0",",,W,",,,,,"1.7",",,W","-16.0",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-08","0.0",",,W,",,,,,"8.9",",,W","-2.1",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-09","0.0",",,W,",,,,,"13.9",",,W","-2.7",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-10","0.0",",,W,",,,,,"18.3",",,W","-1.0",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-11","0.0",",,W,",,,,,"13.9",",,W","-3.2",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-12","0.0",",,W,",,,,,"15.0",",,W","-7.7",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-13","0.0",",,W,",,,,,"13.3",",,W","-0.5",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-14","0.0",",,W,",,,,,"6.1",",,W","-4.9",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-15","0.0",",,W,",,,,,"15.0",",,W","-9.3",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-16","0.0",",,W,",,,,,"13.3",",,W","-4.9",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-17","0.0",",,W,",,,,,"5.0",",,W","-3.8",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-18","0.0",",,W,",,,,,"16.1",",,W","-6.6",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-19","0.0",",,W,",,,,,"8.9",",,W","-4.3",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-20","0.0",",,W,",,,,,"10.6",",,W","-9.9",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-21","0.0","T,,W,",,,,,"3.3",",,W","-7.7",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-22","0.0",",,W,",,,,,"0.6",",,W","-14.3",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-23","0.0","T,,W,",,,,,"-4.9",",,W","-8.8",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-24","0.0","T,,W,",,,,,"-4.3",",,W","-16.0",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-25","0.0","T,,W,",,,,,"-8.2",",,W","-14.9",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-26","0.0","T,,W,",,,,,"-13.8",",,W","-18.8",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-27","0.0",",,W,",,,,,"-6.0",",,W","-16.0",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-28","0.0",",,W,",,,,,"-0.5",",,W","-13.8",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-29","0.0",",,W,",,,,,"-0.5",",,W","-15.5",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-30","0.0",",,W,",,,,,"-13.2",",,W","-18.2",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2017-12-31","0.0","T,,W,",,,,,"-14.3",",,W","-17.7",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-01","0.0",",,W,",,,,,"-9.9",",,W","-17.1",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-02","0.0",",,W,",,,,,"-1.6",",,W","-21.0",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-03","0.0",",,W,",,,,,"3.9",",,W","-8.2",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-04","0.0",",,W,",,,,,"7.2",",,W","-9.3",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-05","0.0",",,W,",,,,,"1.1",",,W","-10.5",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-06","0.0",",,W,",,,,,"3.3",",,W","-13.8",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-07","0.0",",,W,",,,,,"11.1",",,W","-3.2",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-08","0.0",",,W,",,,,,"15.0",",,W","-6.6",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-09","0.0",",,W,",,,,,"15.6",",,W","-3.2",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-10","0.5",",,W,",,,,,"10.6",",,W","-7.1",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-11","0.0","T,,W,",,,,,"-6.6",",,W","-17.1",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-12","0.0","T,,W,",,,,,"-10.5",",,W","-17.1",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-13","0.0","T,,W,",,,,,"-5.5",",,W","-13.2",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-14","0.8",",,W,",,,,,"8.3",",,W","-7.1",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-15","0.0","T,,W,",,,,,"0.0",",,W","-16.6",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-16","0.0",",,W,",,,,,"-8.2",",,W","-19.3",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-17","0.0",",,W,",,,,,"4.4",",,W","-17.1",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-18","0.0",",,W,",,,,,"11.1",",,W","-9.9",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-19","0.0",",,W,",,,,,"15.0",",,W","-3.2",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-20","0.0",",,W,",,,,,"10.6",",,W","-4.9",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-21","23.1",",,W,",,,,,"0.6",",,W","-1.6",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-22","0.3",",,W,",,,,,"0.6",",,W","-7.7",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-23","0.0",",,W,",,,,,"2.2",",,W","-9.3",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-24","0.0",",,W,",,,,,"2.2",",,W","-12.1",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-25","0.0",",,W,",,,,,"8.3",",,W","-10.5",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-26","0.0",",,W,",,,,,"6.1",",,W","-2.7",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-27","0.0",",,W,",,,,,"6.7",",,W","-7.1",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-28","0.0",",,W,",,,,,"-1.0",",,W","-8.2",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-29","0.0",",,W,",,,,,"5.6",",,W","-7.7",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-30","0.0",",,W,",,,,,"9.4",",,W","-6.6",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-01-31","0.0",",,W,",,,,,"6.7",",,W","-2.1",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-02-01","0.0",",,W,",,,,,"2.2",",,W","-4.9",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-02-02","0.0",",,W,",,,,,"8.3",",,W","-7.1",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-02-03","0.0",",,W,",,,,,"12.8",",,W","-1.6",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-02-04","1.3",",,W,",,,,,"-1.6",",,W","-14.3",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-02-05","2.5",",,W,",,,,,"-0.5",",,W","-12.7",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-02-06","5.1",",,W,",,,,,"-8.2",",,W","-17.1",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-02-07","0.0",",,W,",,,,,"-2.1",",,W","-15.5",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-02-08","0.0",",,W,",,,,,"5.0",",,W","-10.5",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-02-09","0.0","T,,W,",,,,,"-4.3",",,W","-13.8",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-02-10","2.3",",,W,",,,,,"-12.1",",,W","-15.5",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-02-11","0.0",",,W,",,,,,"0.6",",,W","-17.7",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-02-12","0.0",",,W,",,,,,"-3.8",",,W","-11.6",",,W",,
"USW00094040","MCCOOK MUNICIPAL AIRPORT, NE US","2018-02-13","0.0",",,W,",,,,,"4.4",",,W","-12.1",",,W",,
