DATE,TMIN,TMAX
2017-12-01,-3.9692307692307693,12.738461538461538
2017-12-02,-4.5,13.569230769230769
2017-12-03,-2.430769230769231,14.492307692307692
2017-12-04,-2.546153846153847,12.8
2017-12-05,-7.746153846153846,6.2846153846153845
2017-12-06,-7.500000000000001,4.653846153846153
2017-12-07,-12.323076923076924,1.5615384615384615
2017-12-08,-8.138461538461538,2.5153846153846158
2017-12-09,-3.8692307692307697,6.315384615384615
2017-12-10,-1.8846153846153846,11.153846153846153
2017-12-11,-1.1692307692307693,12.261538461538462
2017-12-12,-7.569230769230769,9.86153846153846
2017-12-13,-3.838461538461539,11.115384615384613
2017-12-14,-1.6692307692307695,7.261538461538461
2017-12-15,-5.084615384615384,6.6230769230769235
2017-12-16,-3.323076923076923,9.799999999999999
2017-12-17,-2.753846153846154,6.346153846153846
2017-12-18,-4.1692307692307695,9.161538461538463
2017-12-19,-4.384615384615385,10.353846153846153
2017-12-20,-6.423076923076923,8.5
2017-12-21,-7.153846153846154,6.092307692307693
2017-12-22,-12.653846153846153,-1.8384615384615384
2017-12-23,-11.76923076923077,-4.1230769230769235
2017-12-24,-15.72307692307692,-7.207692307692308
2017-12-25,-17.684615384615388,-9.584615384615384
2017-12-26,-22.56153846153846,-13.73846153846154
2017-12-27,-24.63076923076923,-12.838461538461539
2017-12-28,-18.307692307692307,-7.492307692307692
2017-12-29,-15.561538461538463,-5.407692307692309
2017-12-30,-18.646153846153844,-11.892307692307694
2017-12-31,-24.55384615384616,-17.23076923076923
2018-01-01,-27.207692307692305,-17.207692307692305
2018-01-02,-24.95384615384615,-9.876923076923077
2018-01-03,-16.73076923076923,-2.307692307692308
2018-01-04,-14.281818181818181,-1.7090909090909094
2018-01-05,-13.916666666666666,-3.025
2018-01-06,-14.4,-5.433333333333334
2018-01-07,-8.884615384615383,3.3384615384615377
2018-01-08,-5.046153846153846,7.923076923076924
2018-01-09,-2.1692307692307695,10.769230769230766
2018-01-10,-4.507692307692308,9.823076923076922
2018-01-11,-15.983333333333333,2.0250000000000004
2018-01-12,-18.346153846153847,-10.723076923076924
2018-01-13,-16.253846153846155,-10.253846153846155
2018-01-14,-12.484615384615381,-1.2230769230769232
2018-01-15,-18.35,-2.5416666666666665
2018-01-16,-21.141666666666666,-12.408333333333333
2018-01-17,-18.73333333333333,-4.1
2018-01-18,-12.22307692307692,4.446153846153846
2018-01-19,-5.223076923076923,9.992307692307692
2018-01-20,-3.761538461538461,9.976923076923075
2018-01-21,-1.5384615384615388,4.038461538461539
2018-01-22,-5.3538461538461535,1.6846153846153848
2018-01-23,-8.392307692307693,-0.14615384615384625
2018-01-24,-9.130769230769232,1.9538461538461538
2018-01-25,-7.584615384615384,6.676923076923078
2018-01-26,-3.5307692307692307,8.292307692307691
2018-01-27,-4.892307692307691,6.584615384615384
2018-01-28,-10.36153846153846,2.946153846153846
2018-01-29,-12.741666666666667,-2.5749999999999997
2018-01-30,-8.792307692307693,4.030769230769231
2018-01-31,-3.5923076923076924,7.1461538461538465
2018-02-01,-11.549999999999999,1.3083333333333333
2018-02-02,-11.875,-0.3499999999999999
2018-02-03,-8.291666666666666,8.191666666666666
2018-02-04,-17.099999999999998,0.791666666666667
2018-02-05,-16.74166666666667,-6.2749999999999995
2018-02-06,-17.715384615384615,-6.392307692307691
2018-02-07,-16.46923076923077,-5.846153846153846
2018-02-08,-13.39230769230769,-2.3307692307692305
2018-02-09,-14.716666666666667,-6.391666666666667
2018-02-10,-20.21538461538462,-12.207692307692307
2018-02-11,-19.47692307692308,-7.746153846153845
2018-02-12,-17.023076923076925,-4.953846153846154
2018-02-13,-13.907692307692306,-2.246153846153846
2018-02-14,-7.846153846153848,6.861538461538462
2018-02-15,-5.366666666666666,8.216666666666667
2018-02-16,-12.86153846153846,2.8999999999999995
2018-02-17,-7.546153846153846,5.053846153846154
2018-02-18,-4.415384615384615,10.515384615384615
2018-02-19,-10.692307692307692,3.7461538461538457
2018-02-20,-15.384615384615385,-9.36153846153846
2018-02-21,-18.833333333333332,-6.674999999999998
2018-02-22,-13.153846153846152,-4.200000000000001
2018-02-23,-11.207692307692307,-2.9923076923076923
2018-02-24,-10.36923076923077,-1.7615384615384617
2018-02-25,-8.746153846153844,1.5384615384615388
2018-02-26,-7.6923076923076925,8.384615384615383
2018-02-27,-5.0,11.192307692307692
2018-02-28,-4.016666666666667,8.566666666666668
2018-03-01,-5.684615384615384,6.661538461538461
2018-03-02,-3.9461538461538463,11.576923076923075
2018-03-03,-0.5461538461538461,16.584615384615383
2018-03-04,2.3923076923076922,17.9
2018-03-05,-1.8230769230769233,11.100000000000001
2018-03-06,-5.169230769230769,2.7
2018-03-07,-8.299999999999999,2.0
2018-03-08,-9.661538461538461,5.553846153846153
2018-03-09,-5.946153846153846,9.876923076923077
2018-03-10,-2.8076923076923075,11.56153846153846
2018-03-11,-4.192307692307692,6.692307692307692
2018-03-12,-7.06923076923077,5.915384615384615
2018-03-13,-7.115384615384614,9.176923076923076
2018-03-14,-5.161538461538461,14.792307692307693
2018-03-15,-1.9692307692307691,18.715384615384615
2018-03-16,-0.6846153846153845,10.646153846153847
2018-03-17,-2.2846153846153845,4.176923076923077
2018-03-18,-1.9384615384615385,4.446153846153846
2018-03-19,-0.33846153846153837,3.6307692307692303
2018-03-20,-3.0500000000000007,4.933333333333333
2018-03-21,-4.8,10.008333333333333
2018-03-22,-1.4923076923076926,15.715384615384616
2018-03-23,1.6999999999999997,15.284615384615385
2018-03-24,0.9384615384615386,10.123076923076923
